example_id,source_group_id,split,id,query,active_unit_count,vehicle_unit_count,has_vehicle_target,domains,issue_codes,initial_status,final_status
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1198,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1198,train,1198,打开自动雨刮设置,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1199,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1199,train,1199,风量调到最大空调调到最亮,2,2,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1200,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1200,train,1200,空调一档风,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1201,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1201,train,1201,频道返回一下,1,0,False,收音机,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1202,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1202,train,1202,打开前排影院模式,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1203,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1203,train,1203,放音乐来听听就是,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1204,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1204,train,1204,你是否可以继续替我放一段上一次播放过的一些评书呢,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1205,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1205,train,1205,从我现在的位置到郑州去,1,0,False,地图,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1206,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1206,train,1206,关闭前视记录仪录音,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1207,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1207,train,1207,烫种蜜豆牛奶吐司,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1208,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1208,train,1208,打开天窗打开副驾驶的氛围灯调到红色打开座椅通风打开座椅按摩,2,2,True,车载控制,split_sens_gt_semantic_units,manual_review,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1209,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1209,train,1209,自然风开设置页面,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1210,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1210,train,1210,当前室外温度,1,0,False,天气,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1211,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1211,train,1211,天窗最大天窗透光值最高,2,2,True,车载控制,split_sens_lt_semantic_units,manual_review,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1212,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1212,train,1212,我要开车了做好后除霜,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1213,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1213,train,1213,播原创榜中的歌曲,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1214,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1214,train,1214,娱乐屏幕右边移动,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1215,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1215,train,1215,播放老杨说的唐家三少菊与刀第三章,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1216,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1216,train,1216,设置HUD里的导航模式为详细模式,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1217,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1217,train,1217,我想听个跑车发动机启动声,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1218,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1218,train,1218,控制一下雨刮速度可以吗,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1219,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1219,train,1219,播放阿杜的歌,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1220,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1220,train,1220,嘟拉三D儿歌第一季,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1221,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1221,train,1221,我想听阿加莎克里斯蒂的十个小印第安人,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1222,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1222,train,1222,车外模拟声浪开启,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1223,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1223,train,1223,显示屏太亮了减三,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1224,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1224,train,1224,关闭空调关闭所有空调,2,2,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1225,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1225,train,1225,打开坐垫延长设置,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1226,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1226,train,1226,天气晴朗,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1227,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1227,train,1227,我要吃笋唤春生石榴包,1,0,False,地图,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1228,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1228,train,1228,土豆的菜谱有什么,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1229,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1229,train,1229,我想看欧利亚,1,0,False,影视,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1230,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1230,train,1230,放一首阳光开朗大男孩,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1231,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1231,train,1231,我要听孤勇者,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1232,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1232,train,1232,我想关座舱恒温,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1233,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1233,train,1233,设置语音配置,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1234,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1234,train,1234,你的新电话是多少,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1235,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1235,train,1235,主驾车窗降到最低,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1236,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1236,train,1236,听经典的金属流派歌曲,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1237,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1237,train,1237,关闭座椅加热打开空调,2,2,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1238,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1238,train,1238,红焖萝卜牛腩,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1239,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1239,train,1239,音效高音调为五,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1240,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1240,train,1240,播放四川小爱早报,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1241,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1241,train,1241,我想吃香烤馒头,1,0,False,地图,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1242,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1242,train,1242,关闭空调打开天窗打开左前车窗,3,3,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1243,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1243,train,1243,调节风儿大小,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1244,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1244,train,1244,给孩子讲名人的故事,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1245,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1245,train,1245,吃道闽菜,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1246,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1246,train,1246,土豆香肠干锅,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1247,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1247,train,1247,后风窗加热开关开下,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1248,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1248,train,1248,关闭内循环打开空调,2,2,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1249,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1249,train,1249,打开中等距离前向碰撞预警页面,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1250,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1250,train,1250,给萱萱放拔萝卜,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1251,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1251,train,1251,替我放他讲的睡前的故事,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1252,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1252,train,1252,帮我打开自然风设置页面,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1253,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1253,train,1253,收藏一下在收听的那段,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1254,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1254,train,1254,为我看看些上海菜,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1255,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1255,train,1255,有哪些城市活动,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1256,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1256,train,1256,收听赵本山的小品,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1257,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1257,train,1257,关闭屏幕关闭氛围灯关闭车内灯,2,2,True,车载控制,split_sens_gt_semantic_units,manual_review,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1258,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1258,train,1258,我想再听一遍这个歌,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1259,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1259,train,1259,低速行驶提示音设置为关闭,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1260,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1260,train,1260,推荐助眠场景歌曲,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1261,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1261,train,1261,我要听儿歌生日祝福歌,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1262,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1262,train,1262,静海县要不要涂防晒,1,0,False,天气,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1263,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1263,train,1263,我要放一首当离别开出花,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1264,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1264,train,1264,在上海今天可以洗车吗,1,0,False,天气,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1265,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1265,train,1265,上海有雾吗,1,0,False,天气,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1266,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1266,train,1266,关闭整车车窗音量调到百分之三十,2,2,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1267,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1267,train,1267,退出去,1,0,False,播放控制,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1268,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1268,train,1268,我想知道此刻的锅温,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1269,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1269,train,1269,给我查询上海有多少家北汽4S店,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1270,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1270,train,1270,右边的屏幕展示腾讯视频,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1271,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1271,train,1271,防晒等级调到最高,1,1,True,车载控制,,candidate,
