object,action,count
后备箱,开一下,2
空气净化器,打开,2
座椅,更改一下,2
遮阳板,关闭,2
颈部,打开,2
电动门,停止关闭,2
行车灯,打开,2
后视镜,设置,2
大屏,关闭,2
天幕,调,2
遮阳帘,关上,2
汽车由普通模式,变为,2
挡风玻璃雨刮,打开,2
靠背,调一点,2
主屏幕,关闭,2
天窗窗帘,关上,2
灯,关闭,2
座椅包裹,调节,2
灯,调节,2
车门,换一下,2
窗帘,拉上,2
车灯,调节,2
窗帘,关,2
整车,转变为,2
风空调,调节,2
车外灯,熄灭,2
遮阳帘帘,打开,2
门窗,打开,2
香氛系统,打开,2
设置,设置一下,2
中间储物台,调节,2
座椅脚踏,调节,2
礼貌灯,关闭,2
门锁,解锁,2
座椅,设为,2
制热器,调节,2
空调,调成,2
座椅,调为,2
座椅,滑,2
屏,调,2
座椅,关了,2
后尾门,关闭,2
方向盘,关掉,2
空调,调节到,2
音响,关闭,2
空调,空,2
滑门,打开,2
坐垫,调,2
电动尾翼,关闭,2
开车模式,切换成,2
窗子,关闭,2
椅靠背,调节,2
星空顶,调节,2
车窗玻璃,降,2
后视镜,调一下,2
扬声器,调整,2
车门,停止关闭,2
阅读灯,调节,2
坐垫,开启,2
氛围灯,关掉,2
电尾门,关闭,2
腰靠,调节,2
灯,调成,2
电动滑门,打开,2
雨量传感器,调节,2
椅,调到,2
车窗,下降点,2
安全带,打开,2
远光灯,调节,2
空调,换个,2
车内灯,关闭,2
氛围灯,需要,2
天幕调光玻璃,调节,2
靠背,放,2
空调,关一下,2
座椅,降,2
车窗,调整,2
蓝牙耳机,调,2
座椅后背,调节,2
近光灯,打开,2
座椅,调节到,2
背部,切换为,2
反光镜,打开,2
大屏,滑一下,2
转向,调为,2
玻璃,调节,2
空调,开一下,2
车载儿童座椅,启动,2
椅,打开,2
后视镜屏幕,调节,2
尾门,调节,2
车大灯,关闭,2
中控屏,移动,2
中控大屏,关闭,2
空调,转到,1
车内灯,设置,1
大屏,滑动点,1
雨刮,控制一下,1
显示屏,调节,1
视镜,打开,1
座椅,打开一下,1
座椅,调至,1
车上窗户,开开,1
电动出风口,设置,1
天窗玻璃,关闭,1
后视镜,调节为,1
后备箱盖,打开,1
顶部娱乐屏,打开,1
氛围灯,开一下,1
雷达,设置,1
后视镜,调整,1
空调,关个,1
挡风玻璃雨刮器,打开,1
门窗,关闭,1
心跳氛围灯,打开,1
侧翼,关闭,1
氛围灯,调为,1
屏幕,设,1
车窗控制,打开,1
座,打开,1
座椅腰部,开一下,1
整车,设为,1
自适应大灯,断开,1
椅子靠背,调,1
灯,开启,1
遮光板,打开,1
自适应大灯,灭掉,1
屏,启用,1
遮阳帘,拉起来,1
大屏,滑,1
方向盘,关,1
悬架,调整,1
屏幕,回正,1
方向盘,切换到,1
悬架,调,1
空调,切换到,1
照地灯,进入,1
门把手,调到,1
门,开启,1
门玻璃,关闭,1
屏幕,换个,1
车窗,调一调,1
中控大屏,移一下,1
窗户,落下来,1
窗户,下来,1
充电盖,盖上,1
加速能力,切换到,1
行车记录仪,开启,1
屏幕,恢复到初始位置,1
车窗,敞开,1
自动礼仪灯,打开,1
近光灯,切换成,1
抬头显示,调,1
车载冰箱,调到,1
空调调,调,1
屏幕,调整为,1
娱乐大屏,移动,1
摄像头,查看,1
腰托上腰托,调节,1
驾驶,切换至,1
中间放东西的柜子,滑动,1
香氛,关掉,1
电视屏,打开,1
座椅,退出,1
背部,切换,1
窗户,降下来,1
靠背包裹,调节,1
交流端盖,合上,1
汽车,按,1
上面的窗帘,展开,1
整车,切换到,1
空,开,1
车内所有灯光,打开,1
后背,调节,1
备胎,关掉,1
大屏幕,关掉,1
座椅,切换到,1
整车,设置,1
中控屏幕,关闭,1
空调,打打开,1
前灯,关闭,1
座椅,按,1
空气净化,开启,1
脚托,调节,1
灯,进行设定,1
屏,设置为,1
屏幕,减小,1
电尾门,打开,1
车辆操作模式,改为,1
座椅腰托下腰托,动,1
天窗,开一点通风,1
坐垫,关闭,1
幕布,关闭,1
车上窗户,关闭,1
座椅,可以关了,1
内后视镜,调,1
电动门,开启,1
抬头显示,恢复,1
车载儿童座椅,打开,1
窗口,设置,1
充电盖,合上,1
储物箱,关闭,1
冰箱,设置到,1
香薰,关闭,1
示宽灯,关闭,1
智能底盘,关闭,1
全气候灯,开,1
颈枕,打开,1
后背,开,1
前备箱,打开,1
副屏,调,1
靠椅,调节,1
方向盘,设置为,1
驶屏,关闭,1
雨刮,关一下,1
屏幕,滑一下,1
天窗窗帘,打开,1
电子手刹,打开,1
麦克风,设为,1
座椅,改,1
玻璃,关了,1
头枕音响播放,切换为,1
天窗,调整为,1
娱乐主机显示屏,移,1
坐垫,开,1
空,调至,1
头枕屏,关闭,1
中控,打开,1
阅读灯,使用,1
制热器,打开,1
车载冰箱,关闭,1
顶灯,关闭,1
智能除味,关闭,1
座椅,开下,1
抬头显示,改为,1
雾灯,开启,1
天幕玻璃,设置为,1
儿童座椅,开启,1
遮阳帘,关,1
灯,关掉,1
车窗,往上,1
悬挂,调节,1
液晶大屏,关闭,1
座椅靠背支撑,调到,1
灯,调,1
阅读灯,调,1
头顶灯光,调节,1
中控显示屏,滑动一点,1
氛围灯,禁止,1
天窗,往后滑,1
顶棚屏,关闭,1
雾灯,开一下,1
脚踏,调整,1
座椅,调一下,1
蒸发器,关一下,1
座椅坐垫,打开,1
香氛,换个,1
仪表,改为,1
屏,改为,1
座椅,恢复默认,1
空气净化,关闭,1
娱乐主机显示屏,调节,1
空调,调取,1
方向盘,设为,1
中控屏,滑一下,1
面发光氛围灯,打开,1
车窗,降下来,1
车窗,降低,1
氛围灯,好,1
车顶,调节,1
阅读灯,关掉,1
椅背屏,打开,1
驾驶,调成,1
空气净化器,调到,1
远光灯,打开,1
外后视镜,设置为关闭,1
侧翼,设,1
椅背屏左,更改成,1
冰箱,切换成,1
两块天窗玻璃,调成,1
扩散器,设置为,1
中控屏,设置,1
仪表屏的,打开,1
车载冰箱抽屉,打开,1
车内照明,改成,1
后视镜,调试,1
行车灯,关闭,1
显示屏,关掉,1
手套箱,关闭,1
香氛,用不到,1
天幕,调整成,1
天幕,切换,1
腿托,打开,1
显示屏,移动下,1
上面的窗帘,开启,1
车载智能儿童座椅,进行,1
座位的靠背,调节,1
座椅靠背支撑,调节,1
车窗,调下降,1
遮光帘,关闭,1
雨刮刮,调节,1
空气净化器,设置为,1
香氛,换一个,1
屏幕,显示,1
大屏,调节,1
幕布,打开,1
阅读灯,更改,1
灯光,关掉,1
氛围灯,调整到,1
座椅,归位,1
蓝牙钥匙,关闭,1
天窗前窗帘,关,1
后视镜,向外显露,1
充电盖,打开,1
空气净化,关掉,1
空调,设置成,1
按键,调节,1
小灯,打开,1
大灯,设置,1
空气净化器,关,1
车窗,放下,1
坐垫侧翼,调节,1
天窗,调,1
面发光氛围灯,调节,1
净化空气,停止,1
钥匙,设置为,1
汽车运行,设置,1
座椅靠背,调下,1
座椅,启动一下,1
星空穹顶,调节,1
窗帘,关一下,1
中控屏幕,移动,1
车门锁,锁解开,1
座椅,改一下,1
座椅后背,进入,1
头枕,打开,1
后背,调,1
窗窗帘,关闭,1
麦克风,关闭,1
车窗,启动,1
座椅上腰托,调到,1
行车记录仪,拍,1
头枕音响,调节,1
报警灯,关上,1
车门,关,1
座椅头枕,调节,1
折叠屏,关闭,1
自适应大灯,打开,1
汽车电源,关闭,1
抬头显示,设置,1
制动踏板,关闭,1
车窗车窗,打开,1
电动遮阳帘,关闭,1
驾驶,调整为,1
天窗窗帘,关闭,1
门,开,1
脚托,打开,1
室内灯,关闭,1
空气净化器,开一下,1
玻璃窗,打开,1
窗户,开一下,1
汽车,设置,1
阅读灯,开启,1
后尾箱,打开,1
主屏,移动,1
大屏,移动,1
窗户,开下,1
车顶天窗,敞开,1
减震,调,1
香氛,开,1
日间行车灯,关闭,1
方向盘,调一点,1
天窗,关了,1
后视镜,调到,1
照明,打开,1
电动侧门,停止一下,1
雨刮器,启动,1
车内照明,关闭,1
音响,关下,1
中控屏,滑动点,1
窗子,开,1
电源,打开,1
整车,调低,1
窗子,降到下面去,1
座椅,移一点,1
空气净化器,调成,1
充电口盖,修改,1
空气净化器,调,1
靠背还要,调一点,1
全气候灯光,打开,1
车载冰箱,切换,1
驾驶,改为,1
车窗,拉上,1
雨刮器,切换,1
空调香氛,设,1
中控面板,调节,1
座椅坐盆,调到,1
顶部娱乐屏,调,1
车内灯光,关闭,1
氛围灯,改变,1
下腰托,调到,1
天幕调光玻璃,更改,1
后视镜,设为关闭,1
转向灯,开启,1
空调,开至,1
空气净化器,关掉,1
抬头显示,打开,1
灯光同步,打开,1
座椅位置,调节,1
天幕,关掉,1
遮阳帘,关掉,1
隔断,升起来,1
屏幕,划,1
雨灯,打开,1
电动门,转到,1
遮阳,打开,1
备胎装置,关,1
车窗控制,切换,1
位置灯,开启,1
电动尾翼,打开,1
表面灯,调成,1
抬头显示,关了,1
系统,调到,1
窗帘,拉开,1
天窗窗帘,合拢,1
全车照明,打开,1
空调香氛,切换,1
除味,打开,1
香氛,给我更换一个,1
头枕音响,换成,1
后视镜,设为,1
摄像头,显示,1
仪表,显示,1
后备箱,开,1
扬声器,设置,1
车隔断玻璃,关上,1
智能香氛器,设置,1
电动门,打开,1
氛围灯,开开,1
长联屏屏幕,调节,1
后备箱,暂停,1
窗户,往上关一下,1
门,开个,1
远光灯,撤销,1
挡风窗,关闭,1
座椅,调整为,1
车载儿童座椅,退出,1
窗户,开启,1
扩散器,打开,1
星环氛围灯,打开,1
悬挂,调整,1
车上窗户,关,1
仪表显示,进入,1
安全带,给我关了,1
隔断,设成,1
车辆空调,停用,1
后视镜,启动,1
后背,进入,1
空调,放,1
行车灯,开启,1
后视镜,外启,1
内后视镜,调节,1
后视镜,设置为,1
窗帘,启用,1
外后视镜,调节为,1
车载儿童座椅,关闭,1
方向盘,开启,1
腿架,调一点,1
车外灯光,打开,1
屏幕显示,调整,1
座垫,调节,1
中控扶手,调节,1
隔断,降,1
香熏,打开,1
天窗前窗帘,开启,1
挡风玻璃,调成,1
车辆驾驶模式,调整为,1
座椅,存,1
座椅坐垫,动,1
扬声器,提升,1
转向灯,使用,1
大屏,移动一下,1
车外灯,不需要,1
窗帘,暂停,1
门控灯,打开,1
双跳灯,关闭,1
方向盘,关了,1
仪表板,激活,1
氛围灯,改成,1
滑门,关闭,1
车窗子,调节,1
遮阳帘调节,调节,1
车辆驾驶模式,更改为,1
座椅,转,1
椅坐垫,开一下,1
充电盖口,打开,1
抬头显示,关闭,1
位置灯,关闭,1
屏幕,关一下,1
头顶,调节,1
礼貌灯,弄灭,1
车载智能儿童座椅,启动,1
空调,调调,1
天窗,开开,1
手套箱,打开,1
近光灯,转换为,1
屏幕,回到初始位置,1
前照灯,关闭,1
空气净化,开,1
氛围氛围灯,关闭,1
香氛,调为,1
电椅,打开,1
天窗窗帘,敞开,1
太阳窗,关小,1
仪表,切换,1
外后视镜,切换为关闭,1
电动门,关上,1
娱乐主机大屏,移,1
腰架,调节,1
驾驶,更改为,1
屏,换成,1
汽车驾驶模式,更改为,1
仪表屏屏幕,关闭,1
方向盘,调,1
座椅,关上,1
座椅,切换为,1
蓝牙耳机,设置为,1
座椅,升,1
车窗,开大,1
天窗前遮阳帘,关闭,1
雷达,调整,1
空气净化功能,打开,1
屏幕,控制,1
驾驶,调节,1
照明灯,关闭,1
星空顶棚,打开,1
冰箱,开开,1
屏幕,返回到,1
电动尾门,打开,1
抬头显示,调成,1
雾灯,关掉,1
我要,设置一下,1
顶部娱乐屏,关一下,1
车窗,开开,1
座椅头枕,暂停调节,1
整车,启动,1
双闪警示灯,打开,1
整车,改为,1
电子屏,关闭,1
后视镜屏幕,调,1
中控屏,查询,1
右转向灯,关闭,1
尾翼,关闭,1
底盘悬架,调节,1
儿童座椅,设置为,1
儿童座椅,启动,1
后备箱的门,扣一下,1
星空顶,换一个,1
电源,关掉,1
中控屏,调,1
遮阳帘,开,1
钥匙,开,1
将灯光,调,1
窗玻璃,打开,1
中控扶手,滑,1
氛围灯,关闭关闭,1
窗户,开开,1
显示器,关闭,1
车身,抬,1
空气净化,暂停,1
近光灯,开,1
仪表屏,设置,1
窗帘,开一下,1
灯光,降低到,1
空调,变,1
全气候灯,开开,1
表面灯,调成其他,1
面发光灯,调节,1
车窗,弄下来,1
冰箱,调成,1
礼貌灯,打开,1
窗帘,调节,1
窗,升起,1
屏幕,关下,1
激光雷达,关闭,1
窗户,关起来,1
礼貌灯,关掉,1
雨刷,调节,1
窗帘,调,1
窗帘,收回,1
雨刮,调为,1
空调,改为,1
阅读灯,体验,1
后视镜,开一下,1
后备箱,扣上,1
主动扩散器,打开,1
车门锁,设置,1
雨刮,关关,1
车窗控制,关,1
座椅腰托上腰托,调节,1
车载儿童座椅,停止,1
座椅,热,1
吸顶屏,关闭,1
天幕玻璃,调节,1
制冷器,打开,1
座椅,弄回去,1
门,合上,1
香氛石,打开,1
空气净化器,变成,1
空气净化,改个,1
中控台,关闭,1
中间放东西的柜子,滑,1
扶手箱,移动,1
顶棚屏,开启,1
车窗,稍微关一下,1
遥控,关,1
车载香氛,打开,1
银屏,调节,1
挡风玻璃,打开,1
中控显示屏,关闭,1
吸顶屏,调节,1
大灯,设为,1
抬头显示,选择,1
氛围灯,换种,1
座椅,转动,1
车门,开启,1
车身,调节,1
天窗,调低,1
车窗,掉下去,1
后视镜,展示,1
电滑门,打开,1
座椅,座,1
座椅靠背,打开,1
天窗玻璃,合上,1
天窗,往后移,1
交流充电口盖,打开,1
线条灯,设置成,1
门把手灯光,打开,1
冰箱门,打开,1
车门,闭,1
轮廓灯,调节,1
车载智能儿童座椅,开启,1
钥匙,调,1
窗户,关了,1
中控大屏,滑一下,1
双闪灯,关闭,1
座椅后背,开一下,1
车辆模式,设置为,1
车内灯光,设置,1
备胎,关闭,1
屏,查看,1
车载冰箱,调成,1
车窗,调,1
中间的柜子,滑,1
座椅高度,调,1
踏板加速,换成,1
警示灯,打开,1
制动踏板,选择,1
娱乐主机屏幕,使用,1
方向盘,调整为,1
中控屏幕,调,1
车窗,往上调调,1
后备箱,锁上,1
空气净化功能,启动,1
天幕遮阳帘,打开,1
雨刷,调节为,1
整车,选择,1
雾灯,开着,1
礼貌灯,开启,1
充电口盖,关闭,1
汽车头显,关闭,1
荧幕,调到,1
护眼灯,调节,1
屏幕,调调,1
日间行车灯,打开,1
整车,转换至,1
椅靠背支撑,调节,1
座椅,恢复正常,1
车门,关上,1
抬头显,打开,1
顶屏幕,打开,1
天窗遮阳帘,开,1
阅读灯,改变,1
行驶灯,亮起,1
窗帘,调整,1
室内灯,打开,1
拐弯灯,打开,1
门锁,关闭,1
制动踏板感,调到,1
座椅,变更到,1
全景记录仪,锁定,1
灯,关了,1
天幕调光玻璃,设置,1
座椅脚托,打开,1
空气净化功能,关闭,1
车窗遮阳帘,打开,1
反光镜,关闭,1
车窗户,关闭,1
后背门,调节,1
相机,开启,1
隔断,开,1
车窗,打开一下,1
仪表盘,换成,1
屏幕,增加,1
蓝牙耳机,开,1
椅,设定,1
方向盘,选择,1
寻车灯光,设置为,1
氛围灯,调节为,1
功放,打开,1
备胎装置,打开,1
天窗窗帘,开启,1
车窗玻璃,降下,1
屏幕,打开一下,1
副屏幕,关闭,1
车外灯,设置,1
电动尾门,关闭,1
驾驶,设为,1
头枕,调节,1
悬架,设置,1
后视镜,往外翻,1
星空顶棚,关闭,1
照明灯,打开,1
屏幕,点灭,1
整车,切换成,1
仪表盘,设置,1
麦克风,禁,1
座椅,关一下,1
车上窗户,降下去,1
摄像头,设为,1
玻璃天窗,调节,1
备胎装置,使用,1
双闪,打开,1
脚托,收起,1
颈枕,调节,1
尾门,调成,1
屏,关,1
中控大屏,滑动下,1
直流端盖,掀起,1
坐垫再,调节,1
智能除味,打开,1
车外灯,开一下,1
氛围灯,编辑,1
车外灯,运行,1
遮阳帘,调一下,1
远光灯,切换成,1
氛围灯,换个,1
后视镜,调,1
后背,打开,1
娱乐大屏,使用,1
近光灯,设为,1
车上窗户,关起来,1
座椅,停止,1
雨刮,调,1
玻璃天窗,打开,1
音响,切换成,1
前视记录仪,锁定,1
头枕音响,调整,1
后背,开启,1
天窗,开启,1
大灯,关闭关闭,1
天窗,后翘,1
座椅,调一些,1
后视镜,关掉,1
香水,调,1
座椅,抬,1
车窗,合拢,1
车身,调整,1
蒸发器,关闭一下下,1
空悬,调节,1
空气净化器,开,1
中控扶手,移,1
娱乐显示屏,滑动,1
备胎装置,关闭,1
车内照明,打开,1
灯,设为,1
仪表,切换为,1
顶屏幕,关闭,1
车上窗户,降下,1
娱乐屏,滑一下,1
座垫,打开,1
危险报警灯,打开,1
拖车钩,关闭,1
摄像头,关了,1
侧翼,调节为,1
阅读灯,关,1
后背门,设,1
底盘,切换到,1
屏幕,关闭关闭,1
行车记录仪,看一下,1
太阳窗,关闭,1
大屏幕,关闭,1
刹车,打开,1
冰箱,关闭,1
遮阳帘,拉下,1
车窗雨刮,打开,1
空调,降为,1
雷达,设,1
智能除味,开启,1
电动遮阳帘,打开,1
尾门,暂停,1
雨刷,设置为,1
天窗,关下,1
麦克风,设置成,1
座椅,储存,1
氛围灯,切换成,1
天窗的玻璃,调节,1
近光灯,暗下去,1
远光灯,调,1
冰箱,设置成,1
主显示屏,回到,1
远光灯,开着,1
车窗,调为,1
车内氛围灯,设成,1
车窗,上升,1
扬声器,调到,1
轮廓灯,打开,1
仪表盘,关闭,1
口盖,打开,1
行车记录仪,打开,1
智能香氛器,停止,1
仪表显示的屏幕,调节,1
电视屏,取消,1
记录仪,打开,1
座位,设置,1
屏幕,对着,1
雾灯,开,1
旋转灯,关闭,1
一体屏,调节,1
车机屏幕,转向,1
氛围灯,停掉,1
悬架,打开,1
液晶屏,打开,1
倒后镜,打开,1
车内灯光,打开,1
空调,设定,1
氛围灯,设成关闭,1
行李箱,打开,1
车内灯,开启,1
氛围灯,切到,1
屁股座垫,设置,1
全气候灯,关闭,1
车上窗户,开,1
娱乐主机屏幕,滑,1
空调,降到,1
电动侧门,停止关闭,1
全气候灯,开启,1
窗帘,开开,1
雾灯,切换成,1
空调,换成,1
开车模式,变更为,1
座椅腰部,开,1
屏,操作,1
中间的柜子,调节,1
香薰发射器,开启,1
窗子,敞开,1
交流充电口盖,关闭,1
车外灯,调节为,1
主屏幕,滑动,1
天窗,切换为,1
脚踏,调高,1
交流接口盖,关闭,1
屏幕,返回,1
室内顶灯,打开,1
挡风玻璃,调到,1
氛围灯,变成,1
娱乐主机显示屏,移动下,1
阅读灯,配置,1
坐垫,激活,1
窗户玻璃,关闭,1
底盘,调节,1
驾驶,调节为,1
车窗,关了,1
后备箱,解锁,1
交流直流二合一充电口盖,打开,1
车上窗户,关上,1
