adjust_content,value,count
风向,吹车窗,2
风,大一点,2
风,中风,2
风挡,三挡,2
音,调高,2
风向,避开我吹,2
风量,四,2
角度,120,2
音量,低,2
风,一级,2
声音,-,2
温度,25,2
幅度,留条缝给,2
音,中等,2
声音,调小一点,2
风速,调高,2
音随车速档位,中,2
风,二档,2
幅度,调高,2
幅度,20%,2
时长,全时开,2
音量,小一点,2
风量,六,2
温度,太小了,2
声音,调大点,2
温度,max,2
时长,久一点,2
风向,吹脚模式,2
声音,20%,2
亮度,调为稍暗,2
幅度,最小,2
风,high,2
风量,-,2
方向,到那边,2
方向,后方,2
风力,五挡,2
音,慢,2
亮度,std,2
风量,加大,2
幅度,最高,2
风速,三,2
声音,减小,2
风量,两格,2
风量,调低一挡,2
风速,调大一挡,2
声音,减低,2
风速,最小速,2
音量,25,2
透明度,零透明度,2
风挡,最大挡,2
音量,调低,2
温度,二十三点五度,2
方向,到前方,2
幅度,点,2
方向,向前面,2
幅度,百分之二十五,2
透明值,最低,2
时长,长一点,2
风向,风对着我吹,2
预警方式,震动模式,2
风力,两挡,2
风量,二档,2
音量,调低20%,2
档位,最大,2
高度,-,2
声音,调低,2
声,低,2
风向,脚部吹风,2
风,max,2
声音,声音小点,2
声音,调大,2
高度,调高一点,2
风向,吹脸吹脚吹窗模式,2
幅度,半开,2
音量,+30/100,2
角度,150,2
温度,升一点,2
角度,大一点,2
风挡,二挡,2
温度,三十,2
预警方式,显示,2
音量,五,2
温度,调到最低,2
模式,二,2
间歇挡位,最大,2
声音,声音开大一点,2
目标电量,调高,2
方向,调到最后面,2
方向,太往下了,2
音量,30%,2
风量,调低,2
音量,30,2
亮度,调暗一点,2
声,20%,2
音量,调大一点,2
音量,调小一点,2
音量,+,2
音量,二十三,2
浓度,浓度调低一点,1
音量,减小,1
能量回收强度,高20,1
亮度,减三,1
音效高音,调为五,1
防晒等级,最高,1
声音,声音轻一点,1
音量,音量调低一点,1
风向,吹腹,1
透明值,小一点,1
风速,低速,1
方向,到最下,1
音量,最轻的,1
时间,3小时2分钟,1
间隔,3分钟,1
限速,最大,1
浓度,-,1
音量,音量不够低,1
风向,吹头,1
温度,温度最低,1
缩放比例,调整到一点二,1
风向,吹挡风玻璃吹脚,1
时间格式,二十四小时制,1
方向,调太高了,1
温度,两挡,1
方向,里,1
方向,内,1
目标电量,3%,1
风量,调小点,1
风量,二十,1
时长,五秒钟,1
风,极速,1
风速,小,1
车速,每小时60公里,1
音量,音量再小一点,1
预警方式,震动预警,1
亮度,稍暗,1
风力,高速,1
温度,四挡,1
能量回收强度,往下调3挡,1
风力,调大,1
声,最小,1
风力,最低速,1
时长,60秒,1
幅度,感觉开的有点大,1
颜色,荧光白,1
温度,二十四挡,1
风量,调低两挡,1
声音,调小点,1
转动力度,最大,1
风速,高一些,1
动能回收,调到适中,1
时长,3分钟,1
风量,降低一挡,1
高度,不够高,1
幅度,10,1
声音,调低百分之十,1
音量,不要这么大声,1
风量,调至二十五度,1
风量,降低,1
视图,广角视图,1
亮度,+10/100,1
幅度,一条缝,1
方向,往上点,1
动能回收,中挡,1
律动强度,最高,1
高度,中,1
音,最高,1
风向,对人吹模式,1
高度,整体往低走,1
方向,往后去,1
最大放电量,百分之十,1
方向,朝车后面,1
风,小点,1
摄像头模式,3秒,1
弹性,更紧些,1
强度,强,1
风量,二十二,1
高度,最轻,1
风速,调大一点,1
声音,调大声一点,1
幅度,五分之一,1
音量,百分之八十,1
温度,开得有点高,1
音量,百分之五,1
颜色,蓝色浅一点,1
透光度,全透,1
风,中档,1
灵敏度,低,1
车速,最小,1
温度,调高两档,1
幅度,打开二,1
音量,大一些,1
温度,调小一点,1
浓度档位,淡香,1
方向,向后座,1
音量,音量很吵,1
温度,太热了,1
声音,两挡,1
律动强度,升到最高,1
方向,太往后了,1
温度,38度,1
方向,向后面,1
音量,音量调小,1
声,最强,1
风向,往上调,1
震动强度,弱,1
温度,可以上调,1
温度,百,1
音量,小点,1
铃声,大一些,1
风力,一格,1
风向,向着我的头吹,1
风向,吹头和下方,1
音量,六,1
角度,90,1
声音,声音放小一点,1
风向,对着我脸吹,1
音量,稍微增大一些,1
按摩强度,最轻柔,1
声音,调低一点,1
时间,调长几分钟,1
温度,二十二二十一,1
时长,半个小时,1
高度,调太低了,1
温度,温度太高了,1
音量,调到十档,1
风量,high,1
风挡,加大两挡,1
风力,+3,1
风,调高2挡,1
温度,强些,1
风量,第二挡,1
音量,音量大声点,1
声,最大的,1
出风量,调小,1
亮度,最高,1
风,中速,1
风向,吹面吹脚模式,1
模式,十六度,1
声音,调低20%,1
时间格式,十二小时制,1
高度,调高10%,1
温度,有点热,1
使用有效期,单次,1
灯光,暗一点,1
音量,音量再小点,1
声,小声,1
风向,不要吹我,1
风向,向上,1
透光度,暗百分之十,1
时间,半小时,1
音量,百分之二十五,1
方向,至右边,1
透明挡位,调到最暗,1
温度,调低两,1
温度,温度太低了,1
高度,调节低一点,1
高度,调远一挡,1
声音,增大10%,1
透明度,设置为5,1
音量,调小三分之一,1
方向,太往上,1
风速,大,1
距离,太大了,1
风向,正对人和前方吹,1
距离,最小,1
风力,三级,1
充电量,额外少,1
车速,负百分之三十,1
角度,180,1
风量,大,1
音,调高一点,1
风量,上升两挡,1
低音,调为30,1
灵敏度,减小,1
高度,调近一点,1
透光度,调到最高,1
风速,-1,1
声音,小点,1
风量,调低一点,1
温度,降到最低,1
风力,最高,1
温度,太冷了,1
方向,到最高,1
音,小一点,1
声音,大10%,1
声音,这么高,1
温度,调高2度,1
音量,音量放低一点,1
音量,低一点,1
度,最小,1
风向,往下,1
力度,最大,1
音量,最小的,1
风,小一点,1
高度,整体往低点,1
风向,左右循环模式,1
按摩强度,调高,1
气温,高一点,1
风向,风朝头吹,1
音量,小点儿声,1
风向,向上吹头,1
透光度,调亮,1
能量回收强度,往下降,1
音量,那么轻,1
透光度,暗一点,1
风向,往下调,1
距离,较早,1
方向,向后一些,1
风,调到二挡,1
温度,调高一度,1
风,二,1
风,调小一点,1
方向,向主驾位置,1
风向,直面吹风,1
温度,十七,1
风量,百分之二十,1
风量,1,1
弹性,设为3挡,1
时长,10分钟,1
风,最低速,1
透光度,全不透明,1
幅度,升高,1
透光度,透光,1
锁车提醒,鸣笛,1
亮度,20,1
亮度,10,1
风量,提高些,1
音量,加大一点,1
风向,吹挡风玻璃吹面,1
音量,音量太重,1
充电,50%,1
温度,降低一,1
风速,提高一挡,1
方向,设置得实在有点太靠后面了,1
温度,升高一,1
幅度,再大一点,1
温度,有点冷,1
中音,调低,1
光亮,+,1
声音,那么低,1
透光率,调整成百分之十,1
风向,吹面吹足,1
充电上限,80%的,1
视角,太低了,1
风向,往左吹,1
温度,二十七点五度,1
方向,太靠后了,1
风量,一档,1
风向,向左吹,1
间隔,慢点,1
温度,低点,1
风向,吹脸好难受,1
时间,最小,1
风量,高速,1
风向,朝我吹,1
风,调低一点,1
音量,音量好高,1
风量,六档,1
速度,八十KM/H,1
透明挡位,小一点,1
风量,调大一些,1
最大充电,百分之一,1
系统音量,调高,1
防晒等级,降低3档,1
音量,8,1
高度,整体往高上些,1
颜色,冷一点点,1
气温,20度,1
风力大小,最小,1
自适应转弯速度,慢,1
声音,音量声音小一点,1
方向,调直一点,1
风,中等,1
幅度,8,1
风,二十三,1
风,调到微,1
高度,较低,1
浓度,1级,1
方向,this,1
亮度,降低三档,1
风量,增大,1
幅度,50,1
亮度,调到百分之三,1
风,两挡,1
时长,两分钟,1
风量,适中,1
风量,高四,1
浓度,淡香挡位,1
动力回收,调高百分之十,1
音量,调高百分之三十,1
风速,最高挡,1
亮度,设为最亮,1
温度,最高挡,1
温度,调到最高,1
音量,音量小一点,1
温度,减少0.5度,1
风向,吹面,1
车速,30千米每秒,1
音量,10,1
方向,调到最顶,1
模式,一档,1
音量,音量降一点,1
风速,开大一点,1
音量,调低30%,1
充电量,太低了,1
风速,中速,1
风量,调到三挡,1
风向,吹脸吹脚模式,1
按摩强度,大,1
幅度,-1/3,1
音,最低,1
幅度,降,1
幅度,百分之六十点儿三,1
颜色,蒂芙尼蓝,1
温度,冷一点,1
音量,增大音量,1
声音,-20%,1
目标充电量,最低,1
音量,音量为较低的级别,1
亮度,二十,1
亮度,调低30%,1
风,调小一点儿,1
按摩强度,强,1
风向,不要吹到脚上,1
风速,最低挡,1
车距,2档,1
温度,减小一点,1
风量,最高,1
音量,三十八,1
风力,最低挡,1
幅度,百分之十八,1
声音,大一些,1
方向,到另一边,1
动能回收强度,调为2,1
音量,调整到最小,1
方向,后排,1
声音,非常大,1
亮度,下限,1
音,调到20,1
风量,降一挡,1
方向,往内,1
车速,减慢,1
风向,往左点,1
音量,五十八,1
温度,最凉,1
风量,四级,1
高度,高一点,1
速度,最小,1
温度,三二十三,1
高度,high,1
方向,到我这,1
风速,二十三度,1
SOC目标电量,调低3,1
风向,吹上面,1
间隔,low,1
音量,音量加,1
灵敏度,低速挡,1
浓度挡位,淡雅,1
亮度,40%,1
亮度,太昏暗,1
风速,调高一些,1
温度,十二十二,1
幅度,小一点,1
音量,十三,1
风,中,1
亮度值,20,1
风向,吹前面和脚,1
车速,10千米每小时,1
声,大声一点,1
回收等级,中级,1
透光值,最暗,1
透光度,减少,1
动力来源,智能能源,1
温度,升温两度,1
中音,减小五,1
风力,三,1
亮度,有些亮,1
幅度,摇四分之三下来,1
风向,不朝脚部出风,1
温度,降低点,1
视图,右前视角,1
亮度,中等,1
亮度,中挡,1
温度,下降一档,1
风,加大,1
按摩强度,一档,1
系统音量,调低,1
音量,三级,1
温度,6,1
透光值,调到20%,1
温度,高些,1
声音,二,1
透光度,零透明度,1
风量,调高,1
电充,80%,1
音量,调低6格,1
音,调低一点,1
风速,high,1
温度,向上调,1
按摩强度,二挡,1
声音,声音关小一点,1
幅度,全开,1
幅度,减小百分之30,1
车距,增大,1
音量,高,1
充电上限,90%,1
温度,提大一点,1
音量,百分之六十,1
风,更大,1
亮度,较高,1
声,大点声,1
幅度,20,1
颜色,红,1
音量,百分之七十,1
风速,中等速,1
视图,行星视角,1
浓度,2级,1
透明度,调到最低,1
颜色,活力橙,1
预警方式,预警制动,1
浓度,低浓度,1
声音,加点,1
风,强档,1
温度,50,1
声音,提升10%,1
风向,吹脸吹脚吹窗,1
音,轻一点,1
亮度,中间值,1
倾斜角度,最低,1
幅度,车窗百分之三十,1
浓度,淡,1
风向,左右扫动,1
透光度,最暗,1
温度,温度往下调一下,1
透明度,调到最高,1
能量回馈强度,设置为标准,1
风,前,1
风挡,一挡,1
音量,调高负80%,1
高度,缩小一点,1
风力,大一挡,1
亮度,20%,1
风量,三一挡,1
风向,向下吹,1
风速,增大,1
音量,调大20%,1
音量,音量调高,1
声音,声音大点,1
音量,最高,1
风向,吹脸和吹脚,1
声音,四,1
风速,调大,1
驱动模式,混动,1
角度,加大,1
方向,车后面,1
音量,低音量,1
方向,设得实在太靠后面了,1
风速,一级,1
高度,往低下动,1
运行时间,减少,1
风速,三档,1
车速,负10公里每小时,1
车速,80千米每小时,1
亮度,切换为最低挡,1
预警方式,鸣笛,1
透光度,调到最大,1
温度,降低一点点,1
风量,低,1
风量,尤其低,1
透明值,调到20%,1
音量,最低,1
声音,声音调低,1
亮度,稍微亮,1
颜色,卡其白,1
电充,百分之三十五,1
音量,调高30%,1
声,调小,1
透光度,增加,1
幅度,减小,1
声音,声音搞小一点,1
高度,有点儿矮,1
高度,增加到最大,1
温度,二十五点五,1
浓度,太大了,1
风力,稍微大一点,1
声音,三,1
车速,1千米每小时,1
车速,负五公里每小时,1
音随车速档位,+,1
声音,声音调大一些,1
音量,调到20,1
时长,两个半小时,1
透光度,小一点,1
风量,调至三级,1
透光挡位,调到最大,1
风力,调大一点,1
转弯速度,快,1
风速,快速,1
驱动模式,强制纯电,1
按摩强度,调小一点,1
亮度,调暗一些,1
声音,声音开小点,1
声音,开小点,1
风速,调大点,1
间隔,high,1
音,升高一半,1
浓度档位,浓郁,1
车速,百分之三十,1
风向,不要对着人吹,1
温度,1,1
能量等级回收,中,1
中音,调节至负10,1
播报声音,小一点,1
视图,左后视角,1
幅度,打开更多,1
幅度,调升一点,1
风向,最上面,1
透光挡位,调到一半,1
风速,升强一些,1
温度,调小两格,1
强度,-,1
声音,0,1
音量,缩减10%,1
声音,放大一些,1
风量,二十三度,1
风向,向上吹,1
颜色,节庆红,1
弹性,3挡,1
幅度,降一些,1
透光挡位,调到最亮,1
声音,最轻的,1
方向,向下来一点,1
风量,小一格,1
音量,大一点,1
颜色,白光,1
时长,十分钟,1
方向,百分之五十,1
风向,吹风吹到脚部的设置,1
温度,升高四度,1
力度,大一点,1
风量,太小了,1
温度,高,1
灵敏度,调高2,1
高度,5,1
风向,吹脸模式,1
温度,升温1度,1
供电下限,96%,1
间隔,+,1
方向,外,1
温度,弱一点,1
风力,四,1
音量,降低一半,1
香味,2,1
模式,max,1
风向,不要对面吹,1
风,最大挡,1
亮度,亮,1
中音,太高,1
运行时长,降低五分钟,1
温,最高,1
时长,半小时,1
亮度,切换最低档,1
亮度,到最亮,1
音量,大些,1
温度,升高,1
音量,增加,1
高度,整体往低下些,1
温度,最热,1
高度,实在太高了,1
高度,往高移,1
声音,大,1
高度,较高,1
风向,别吹我脸,1
声音,最小,1
亮度,低,1
冷暖度,升高,1
弹性,太紧了,1
色温,百分之零,1
透明值,最暗,1
距离,太长了,1
声音,声音放大,1
方向,调后一点,1
亮度,调到8%,1
声音,百分之五十八,1
声音,百分之二十四,1
风速,大一挡,1
声音,增,1
风,调低,1
风速,最大挡,1
间隔,慢一点,1
风量,极速,1
灵敏度,三,1
亮度,调为亮,1
风向,面部,1
声音,百分之十,1
温度,增强,1
温度,提高,1
声,大声点,1
亮度,改为2,1
风速,最低速,1
透明度,升高,1
按摩强度,3档,1
透明值,调到最低,1
模式,最高档,1
音,调小点,1
温度,调热,1
方向,太靠前了,1
温度,向下调节,1
透明度,最小,1
按摩强度,最大,1
颜色,白色,1
音量,5,1
音量,20,1
车速,增大,1
按摩强度,太弱了,1
高度,往下调,1
音量,小一些,1
风向,吹面和脚,1
风向,左右摇头风扫模式,1
亮,升高一个档位,1
动力回收,调节为30%,1
能量回收强度,调节为百分之二十,1
透明值,调到最高,1
温度,零度,1
温度,三挡,1
音量,70%,1
温度,高一些,1
声音,声音低一点,1
透光度,调到百分之负一,1
温度,开大一点点,1
高度,整体往高上移动,1
音量,降低20%,1
香味,适中,1
亮度,五,1
温度,暖一点,1
亮度,增大,1
音量,调小1格,1
温度,零下二十,1
风量,高2挡,1
音量,3格音量,1
亮度,设定为较低,1
音量,小,1
声音,五十,1
音量,暗一点,1
旋转,180,1
方向,向下起来一点,1
气味的浓度,低级,1
透明度,最低,1
防晒等级,调低天窗防晒等级3档,1
按摩强度,二,1
温度,负10,1
震动,1挡,1
颜色,黄色,1
时长,半分钟,1
加热,二挡,1
按摩强度,加大,1
透光度,调亮天窗10%,1
亮度,调至2,1
幅度,-20/100,1
颜色,亮蓝色,1
声,最低,1
声音,小20%,1
音量,太大音量,1
按摩强度,最高,1
风速,七,1
风速,小点,1
风速,太低,1
透光度,暗10%,1
电量,50%,1
音量,调大一半,1
亮度,降暗一些,1
风量,调大两挡,1
风向,朝人吹,1
风速,小一点,1
距离,近,1
透光度,5档,1
方向,到车后面,1
模式,标准,1
风量,小速,1
温度,烫手,1
音量,调到最小,1
音量,增大十个,1
幅度,百分三十,1
风向,对脚吹,1
动力来源,智能模式,1
温度,调低九度,1
风向,向右,1
风量,最小挡,1
温度,过高,1
风向,往右吹,1
电池电量,50%,1
方向,有点前了,1
触摸振感强度,弱,1
风,最高,1
亮度,设为较亮,1
温度,二十一点五,1
方向,向前一点,1
音量,18,1
亮度,调低5档,1
温度,增大点,1
音量,九十,1
风量,小一挡,1
温度,最低温度,1
透光度,低一点,1
方向,太往后,1
风,调高,1
声音,太小声音,1
声音大小,降低,1
风,三二,1
音量,音量调低,1
声音,中,1
高度,调低点,1
系统音量,调大,1
时长,中间值,1
拨杆方式,仅重拨,1
按摩挡位,强,1
音随车速档位,低,1
风向,吹脚吹人,1
风速,2挡,1
提醒灵敏度,较早,1
温度,中档,1
风速,五档,1
声音,下降20%,1
声,设成五十,1
高音,转换最低,1
透明度,最大,1
风向,吹人吹窗,1
亮度,50,1
风速,降低一挡,1
音量,百分之十三,1
方向,太往上了,1
音量,0,1
预警方式,灯光鸣笛,1
动力来源,能量储备模式,1
音量,-10/100,1
时长,二点五小时,1
声,太小声,1
风速,低,1
风速,四档,1
音效低音,调为五,1
幅度,摇四分之一下来,1
高度,升起,1
风速,十四挡,1
亮度,降低一个档位,1
温度,提高一度,1
风力,大一级,1
方向,往前些,1
风力,中挡,1
风速,高一点点,1
温度,二十四摄氏度,1
透明值,调到最亮,1
风,最低挡,1
风向,吹挡风玻璃,1
模式,混动,1
按摩强度,不够低,1
透光度,调暗天幕20%,1
香味,3,1
电池充电上限限制,50%,1
方向,there,1
温度,加热二挡,1
方向,伸长,1
风,最高的,1
音量,调小一些,1
亮度,调到较亮,1
幅度,三分之二,1
阻尼,偏硬,1
颜色,淡黄色,1
风,4挡,1
温度,稍微小一点点,1
倾斜角度,最高,1
风向,不要对我吹,1
声音,调高点,1
亮度,调到稍亮,1
透光度,更清晰,1
音,快,1
声音,太高了,1
高度,百分之一,1
温度,升高1级,1
亮度,切换为最大,1
音量,调高50,1
高度,调高一些,1
声,调高,1
风量,七,1
亮度,调到最亮,1
音量,减低一点,1
高度,3,1
音量,调小一下,1
温度,小点,1
高度,标准,1
间隔,-,1
音量,减少,1
音随车速档位,high,1
灵敏度,调低一点,1
时长,最短,1
视图,尾舱透明,1
透光挡位,低一点,1
按摩强度,在大一些,1
音量,20%,1
温度,下降5档,1
模式,增强,1
温度,调高两挡,1
风速,减弱一点,1
浓度,淡香,1
亮度,降小一点,1
风向,对着人和前方吹,1
距离,适中,1
高度,抬高一点,1
亮度,亮度太低了为我调亮点,1
温度,小一点,1
声音,百分之五十,1
预警方式,灯,1
音量,降,1
预警方式,声音加震动,1
温度,不够低,1
温度,降低四度,1
浓度,浓度调太高,1
音量,调到一半,1
方向,向后座位置,1
声音,声音很大,1
方向,到前面,1
风量,调大一格,1
风量,二十六度,1
声音,九,1
亮度,调高三分之一,1
弹性,太紧,1
寻车,闪灯和鸣笛,1
弹性,调高点,1
车距,-,1
寻车,闪灯模式,1
风向,吹下方,1
方向,朝右手边,1
方向,上升,1
声响,小一点,1
风向,不要吹窗,1
浓度,浓郁,1
声音,声音降低些,1
里程,20千米,1
充电限值,50%,1
律动强度,弱,1
风量,20%,1
音量,百分之三,1
方向,向左边位置,1
风量,调到二十二度,1
方向,调太下,1
亮度,降小,1
透明值,高一点,1
温度,上,1
音,调到2,1
风力,中,1
幅度,百分之四十,1
风量,太大了,1
车速,十千米每小时,1
音,提示音调低,1
颜色,柔肤色,1
风,三级,1
弹性,+,1
透光度,全黑,1
温度,二十二摄氏度,1
锁车提醒,闪灯模式,1
浓度,馥郁,1
温度,座,1
音量,我听不清,1
幅度,百分之二三十,1
风速,加大些,1
温度,设置成负六度,1
音量,音量调至更高水平,1
声响,大一些,1
距离,最大,1
颜色,玫红色,1
风量,mid,1
温度,中,1
幅度,底,1
模式,调小,1
幅度,开小,1
温度,有点太低,1
音量,太大了,1
风量,低速,1
模式,吹脸,1
风力,一档,1
方向,设得实在太靠后了,1
风力,调低一点,1
风力,太大,1
温度,温度调高,1
角度,-,1
温度,八档,1
声,大声,1
时长,短一点,1
温度,给我加,1
声音,50,1
能量回收,强,1
温度,调小,1
亮度,调低一些,1
声音,六,1
方向,往前伸,1
间隔,快一点,1
高度,调低一点五,1
声响,调高10%,1
温度,二十二点五,1
音量,调到最低,1
温度,低一点点,1
声音,声音开小一点,1
方向,右边位置,1
温度,调高20度,1
高度,非常高,1
风力等级,最小,1
亮度,调到最高,1
声音,调高20%,1
声音,声音降低,1
方向,往后些,1
方向,到最后边,1
风向,对着脸吹,1
风,2档,1
方向,向中间,1
方向,不够靠前,1
方向,过去,1
温度,调高3,1
风量,中挡,1
温度,最冷的效果,1
声音,声音关小,1
音量,三,1
音,音效降低,1
透明度,一半,1
风速,调小,1
幅度,全关,1
温度,调高一档,1
预警方式,仅警示,1
风力,调高一点,1
温度,二十四点五,1
速度,调高,1
亮度,降低10%,1
度,最低,1
风量,调大两级,1
使用有效期,本次,1
亮度,有点暗,1
音量,音量大一点点,1
音量,大一点点,1
音量,上涨10%,1
预警方式,警示,1
风,最大挡位,1
视图,尾舱透视,1
幅度,百分之七十,1
