slot_pattern,count
intent | 对象功能 | 操作 | 操作_concrete | 模式 | 调节内容,15
intent | 位置 | 操作,15
intent | value | 操作,15
intent | 操作 | 操作_concrete | 模式 | 调节内容 | 车机模块,15
intent | 功能 | 子功能 | 操作 | 页面,14
intent | 操作 | 操作_concrete | 页面,14
intent | 对象 | 操作 | 操作_concrete | 模式 | 调节内容 | 车内灯类型,14
intent | value | 位置 | 对象 | 操作 | 方向偏移量 | 调节内容,13
intent | 对象 | 操作 | 调节内容 | 车内灯类型,13
intent | 功能 | 操作 | 页面,12
intent | 操作 | 调节内容 | 页面,12
intent | value | 对象 | 操作 | 方向偏移量 | 调节内容,11
intent | 对象 | 对象功能 | 操作 | 调节内容,11
intent | value | 功能 | 操作 | 调节内容,11
intent | value | 操作 | 操作_concrete | 模式 | 调节内容,11
intent | 位置 | 对象 | 座椅记忆位置 | 操作 | 操作_concrete | 调节内容,10
intent | 操作 | 操作_concrete | 调节内容,10
intent | 对象 | 操作 | 操作_concrete | 调节内容,10
intent | 功能 | 操作 | 车机模块,9
intent | 对象 | 操作 | 操作_concrete,9
intent | 操作 | 操作_concrete,9
intent | value | 功能 | 子功能 | 操作 | 调节内容 | 页面,8
intent | 对象功能 | 操作 | 调节内容,8
intent | 功能 | 对象 | 操作,7
intent | value | 位置 | 对象 | 操作 | 操作_concrete | 方向偏移量 | 调节内容,7
intent | 对象 | 操作 | 车机模块,7
intent | value | 位置 | 对象功能 | 操作 | 调节内容,7
intent | value | 位置 | 对象功能 | 操作 | 操作_concrete | 调节内容,7
intent | 对象功能 | 操作 | 操作_concrete | 调节内容 | 音效,7
intent | 对象 | 对象功能 | 操作 | 操作_concrete,7
intent | 位置 | 对象,7
intent | 调节内容,7
intent | 操作 | 车机模块 | 页面,6
intent | 功能,6
intent | 位置 | 对象 | 操作 | 操作_concrete | 模式 | 调节内容,6
intent | 操作 | 调节内容 | 车机模块 | 页面,6
intent | value | 操作 | 模式 | 调节内容,6
intent | 功能 | 子功能 | 操作 | 操作_concrete,6
intent | value | 对象 | 操作 | 调节内容 | 车外灯类型,6
intent | value | 对象功能 | 操作 | 调节内容 | 车机模块,6
intent | 操作 | 调节内容 | 车机模块,6
intent | 位置 | 模式 | 调节内容,6
intent | 位置 | 操作 | 车机模块,6
intent | value | 位置 | 对象 | 操作,6
intent | 位置 | 对象功能 | 操作 | 操作_concrete | 模式 | 调节内容,6
intent | 操作,6
intent | 对象功能 | 操作 | 操作_concrete,5
intent | value | 对象 | 操作 | 操作_concrete | 调节内容 | 车外灯类型,5
intent | 对象功能,5
intent | value | 对象 | 操作 | 操作_concrete | 模式 | 调节内容,5
intent | 对象,5
intent | 对象 | 座椅记忆位置 | 操作 | 操作_concrete | 调节内容,5
intent | 功能 | 摄像头模式 | 操作 | 调节内容,5
intent | 功能 | 操作 | 操作_concrete,4
intent | 功能 | 操作 | 操作_concrete | 模式 | 调节内容,4
intent | 对象 | 对象功能 | 操作 | 车内灯类型 | 页面,4
intent | value | 对象 | 操作 | 操作_concrete | 调节内容 | 车机模块,4
intent | 位置 | 功能 | 操作 | 页面,4
intent | 功能 | 模式 | 调节内容,4
intent | 位置 | 摄像头模式 | 操作 | 调节内容,4
intent | value | 操作 | 调节内容 | 页面,4
intent | 对象 | 对象功能 | 操作 | 车内灯类型,4
intent | value | 功能 | 操作 | 操作_concrete | 模式 | 调节内容,4
intent | value | 对象 | 操作 | 模式 | 调节内容,4
intent | 功能 | 操作 | 调节内容,4
intent | 位置 | 操作 | 调节内容,4
intent | value | 对象 | 对象功能 | 操作 | 操作_concrete | 方向偏移量 | 调节内容,4
intent | 位置 | 对象 | 调节内容,4
intent | 对象 | 操作 | 调节内容 | 页面,4
intent | value | 对象功能 | 操作 | 操作_concrete | 调节内容 | 车机模块,4
intent | value | 对象 | 操作 | 调节内容 | 车机模块,4
intent | 功能 | 子功能 | 操作 | 操作_concrete | 模式 | 调节内容,4
intent | value | 操作 | 操作_concrete,4
intent | 位置 | 对象功能 | 操作 | 页面,3
intent | 位置 | 对象 | 座椅记忆位置 | 操作 | 调节内容,3
intent | value | 对象 | 操作 | 操作_concrete | 模式 | 调节内容 | 车内灯类型,3
intent | 位置 | 对象功能 | 操作 | 模式 | 调节内容,3
intent | 位置 | 对象 | 操作 | 操作_concrete | 调节内容,3
intent | 对象 | 操作 | 调节内容 | 车机模块,3
intent | 功能 | 操作 | 操作_concrete | 调节内容 | 音效,3
intent | 功能 | 子功能,3
intent | 对象 | 对象功能 | 序列号 | 操作 | 调节内容,3
intent | value | 对象功能 | 操作 | 操作_concrete | 模式 | 调节内容,3
intent | value | 对象 | 操作 | 调节内容 | 身体位置,3
intent | 功能 | 子功能 | 操作 | 操作_concrete | 调节内容 | 音效,3
intent | 位置 | 功能 | 对象 | 操作,3
intent | 位置 | 对象 | 对象功能 | 操作 | 页面,3
intent | 对象功能 | 操作 | 调节内容 | 车机模块,3
intent | 对象 | 操作 | 操作_concrete | 车外灯类型,3
intent | 对象 | 对象功能 | 操作 | 车机模块,3
intent | 位置 | 对象 | 对象功能 | 操作 | 模式 | 调节内容,3
intent | value | 位置 | 操作 | 调节内容 | 身体位置,2
intent | value | 对象 | 摄像头模式 | 操作 | 调节内容,2
intent | value | 对象 | 对象功能 | 操作 | 操作_concrete | 模式 | 调节内容,2
intent | value | 操作 | 调节内容 | 车机模块 | 页面,2
intent | value | 对象功能 | 操作 | 方向偏移量 | 调节内容,2
intent | 对象功能 | 操作 | 操作_concrete | 调节内容,2
intent | value | 位置 | 摄像头模式 | 操作 | 调节内容,2
intent | value | 位置 | 对象 | 操作 | 操作_concrete,2
intent | 对象 | 对象功能 | 序列号 | 操作,2
intent | 对象功能 | 操作 | 身体位置,2
intent | 对象 | 操作 | 操作_concrete | 模式 | 调节内容 | 车机模块,2
intent | 车机模块,2
intent | 对象功能 | 操作 | 调节内容 | 音效,2
intent | 对象 | 操作 | 车内灯类型 | 页面,2
intent | 对象 | 操作 | 操作_concrete | 页面,2
intent | 功能 | 子功能 | 操作 | 调节内容 | 音效,2
intent | 位置 | 对象 | 对象功能 | 操作 | 调节内容,2
intent | 位置 | 对象 | 操作 | 操作_concrete | 页面,2
intent | 位置 | 对象功能 | 操作 | 身体位置,2
intent | 对象 | 操作 | 操作_concrete | 调节内容 | 车内灯类型,2
intent | 位置 | 功能 | 操作 | 操作_concrete | 模式 | 调节内容,2
intent | 对象功能 | 页面,2
intent | 对象 | 车外灯类型,1
intent | 功能 | 子功能 | 操作 | 操作_concrete | 模式 | 调节内容 | 车机模块,1
intent | 页面,1
intent | 对象 | 操作 | 操作_concrete | 车内灯类型,1
intent | 位置 | 对象功能 | 操作 | 调节内容,1
intent | 对象 | 操作 | 车外灯类型 | 页面,1
intent | 位置 | 对象 | 操作 | 模式 | 调节内容 | 车机模块,1
intent | value | 对象 | 操作 | 调节内容 | 页面,1
intent | value | 功能 | 对象 | 操作 | 操作_concrete | 调节内容,1
intent | 位置 | 对象 | 对象功能 | 操作 | 操作_concrete,1
intent | value | 操作 | 操作_concrete | 模式 | 音效,1
intent | value | 位置 | 对象 | 操作 | 操作_concrete | 调节内容 | 车机模块,1
intent | 对象 | 对象功能 | 操作 | 操作_concrete | 车机模块,1
intent | 对象功能 | 操作 | 模式 | 调节内容 | 身体位置,1
intent | 位置 | 对象功能 | 操作 | 模式 | 调节内容 | 身体位置,1
intent | value | 位置 | 对象 | 操作 | 调节内容 | 车外灯类型,1
intent | value | 位置 | 功能 | 操作 | 操作_concrete,1
intent | 对象功能 | 操作 | 车机模块,1
intent | value | 操作 | 操作_concrete | 方向偏移量 | 调节内容,1
intent | value | 功能 | 操作 | 操作_concrete,1
intent | value | 位置 | 对象 | 操作 | 操作_concrete | 调节内容 | 车内灯类型,1
intent | 对象功能 | 序列号 | 操作,1
intent | 位置 | 对象 | 摄像头模式 | 操作 | 调节内容,1
intent | value | 功能 | 子功能 | 操作,1
intent | 位置 | 摄像头模式 | 调节内容,1
intent | 对象 | 对象功能 | 操作 | 模式 | 调节内容 | 页面,1
intent | 对象 | 调节内容,1
intent | 位置 | 对象 | 操作 | 操作_concrete,1
intent | value | 位置 | 功能 | 对象 | 操作 | 操作_concrete,1
intent | 功能 | 对象功能 | 操作,1
intent | value | 操作 | 操作_concrete | 调节内容 | 身体位置,1
intent | 位置 | 对象 | 操作 | 操作_concrete | 方向偏移量,1
intent | 摄像头模式 | 操作 | 操作_concrete | 调节内容,1
intent | 对象 | 操作 | 操作_concrete | 调节内容 | 车机模块,1
action | body | feature | intent | object | part | value | 操作,1
intent | 对象 | 模式 | 调节内容 | 车内灯类型,1
intent | 功能 | 子功能 | 操作 | 调节内容 | 页面,1
intent | 对象 | 座椅记忆位置 | 操作 | 调节内容,1
intent | 位置 | 对象功能,1
intent | value | 位置 | 对象 | 操作 | 调节内容 | 车机模块,1
intent | value | 位置 | 操作,1
intent | value | 位置 | 操作 | 操作_concrete | 方向偏移量 | 调节内容,1
intent | 操作 | 模式 | 调节内容 | 身体位置,1
intent | 功能 | 操作 | 操作_concrete | 页面,1
intent | 位置 | 操作 | 模式 | 调节内容 | 页面,1
intent | value | 对象 | 对象功能 | 操作 | 操作_concrete,1
intent | 对象 | 操作_concrete | 调节内容,1
intent | 位置 | 对象 | 操作_concrete | 模式 | 调节内容,1
intent | value | 位置 | 对象功能 | 操作 | 操作_concrete | 方向偏移量 | 调节内容,1
intent | 位置 | 操作 | 调节内容 | 车机模块,1
intent | 功能 | 对象 | 操作 | 模式 | 调节内容,1
intent | 操作 | 操作_concrete | 调节内容 | 车机模块,1
intent | 功能 | 摄像头模式 | 操作 | 调节内容 | 页面,1
intent | value | 对象 | 对象功能 | 操作 | 调节内容 | 身体位置,1
intent | 功能 | 序列号 | 操作,1
intent | 位置 | 对象 | 操作 | 模式 | 调节内容 | 身体位置,1
intent | 操作 | 车机来源,1
intent | 对象 | 操作 | 操作_concrete | 模式 | 调节内容 | 车外灯类型,1
intent | 对象功能 | 操作 | 操作_concrete | 页面,1
intent | 位置 | 操作 | 操作_concrete,1
intent | 功能 | 子功能 | 页面,1
intent | value | 功能 | 操作,1
intent | value | 位置 | 对象 | 对象功能 | 操作 | 操作_concrete | 方向偏移量 | 调节内容,1
intent | 功能 | 调节内容,1
intent | 位置 | 对象 | 模式 | 调节内容,1
intent | 对象功能 | 序列号 | 操作 | 调节内容,1
intent | 对象 | 对象功能 | 操作 | 车外灯类型,1
intent | 对象功能 | 操作 | 调节内容 | 页面,1
intent | 位置 | 对象 | 页面,1
intent | 位置 | 对象 | 车内灯类型,1
intent | 位置 | 功能 | 操作 | 操作_concrete,1
intent | 对象 | 对象功能 | 操作 | 操作_concrete | 调节内容,1
intent | 功能 | 子功能 | 调节内容 | 音效,1
intent | 操作 | 操作_concrete | 调节内容 | 页面,1
intent | 位置 | 对象 | 操作 | 车机模块,1
