slot_name,slot_value,total,train,validation,test
对象,线条灯,5,4,0,1
对象功能,出风模式,5,5,0,0
对象功能,延长,5,5,0,0
对象功能,报警提示音,5,4,1,0
对象功能,混响,5,5,0,0
对象功能,车窗锁,5,5,0,0
对象功能,车窗除雾,5,5,0,0
对象功能,风挡加热,5,5,0,0
摄像头模式,拍照,5,4,1,0
操作,停止关闭,5,4,0,1
操作,停止打开,5,3,2,0
操作,设置一下,5,5,0,0
操作,调节到,5,4,1,0
方向偏移量,10,5,5,0,0
模式,平衡,5,5,0,0
模式,舒适模式,5,4,0,1
模式,静音,5,3,1,1
调节内容,时间,5,5,0,0
车内灯类型,交互灯,5,4,0,1
车内灯类型,线条灯,5,4,0,1
车外灯类型,警示灯,5,5,0,0
页面,调节界面,5,5,0,0
value,三分之一,4,4,0,0
value,上下扫风,4,4,0,0
value,不要对着我吹,4,3,1,0
value,五挡,4,3,1,0
value,低档,4,4,0,0
value,向上,4,4,0,0
value,向副驾,4,3,0,1
value,向后方,4,3,0,1
value,向后边,4,3,0,1
value,四挡,4,4,0,0
value,往上调,4,3,0,1
value,条缝,4,4,0,0
value,标准,4,3,1,0
value,调到最前,4,3,1,0
value,调到最小,4,3,0,1
value,调小一点,4,3,1,0
value,适中,4,4,0,0
位置,两侧,4,4,0,0
位置,主驾和副驾的,4,2,0,2
位置,主驾和左后,4,4,0,0
位置,前车,4,4,0,0
位置,副驾二排左,4,2,0,2
位置,副驾驶的,4,4,0,0
位置,后车,4,3,1,0
位置,四门,4,4,0,0
位置,左,4,2,0,2
功能,主动恒温,4,4,0,0
功能,全景环视,4,3,0,1
功能,座舱控温,4,3,1,0
功能,方便进出,4,4,0,0
功能,生命监测,4,3,1,0
功能,胎压,4,4,0,0
功能,行车保电,4,4,0,0
子功能,预防性制动,4,4,0,0
对象,前大灯,4,4,0,0
对象,副屏,4,4,0,0
对象,备胎装置,4,3,1,0
对象,天幕调光玻璃,4,4,0,0
对象,尾门,4,2,1,1
对象,座椅后背,4,4,0,0
对象,座椅腰部,4,2,0,2
对象,挡风玻璃,4,3,0,1
对象,机,4,3,1,0
对象,脚踏,4,3,0,1
对象,行车灯,4,4,0,0
对象,车载冰箱,4,4,0,0
对象,隔断,4,4,0,0
对象,雷达,4,3,1,0
对象,香薰,4,4,0,0
对象功能,交流电,4,2,0,2
对象功能,伴我回家灯,4,3,0,1
对象功能,倒车,4,3,1,0
对象功能,吹风,4,3,1,0
对象功能,安全警报提示音,4,4,0,0
对象功能,左侧出风口,4,4,0,0
对象功能,手机投屏,4,3,0,1
对象功能,报警音,4,4,0,0
对象功能,按键音,4,3,1,0
对象功能,挡风加热,4,3,0,1
对象功能,接近照明,4,2,2,0
对象功能,显示,4,4,0,0
对象功能,电动出风口,4,4,0,0
对象功能,童锁,4,3,0,1
对象功能,解锁,4,4,0,0
对象功能,车外提示音,4,3,1,0
对象功能,透气,4,4,0,0
对象功能,除湿模式,4,4,0,0
对象功能,除雾功能,4,4,0,0
对象功能,除霜除霜,4,3,1,0
操作,合上,4,4,0,0
操作,开始,4,2,1,1
操作,恢复,4,4,0,0
操作,换个,4,4,0,0
操作,敞开,4,3,0,1
操作,更改,4,4,0,0
操作,设置成,4,2,2,0
操作,调一下,4,4,0,0
操作,配置,4,2,1,1
方向偏移量,30,4,3,0,1
模式,AC,4,3,1,0
模式,保温,4,3,1,0
模式,手动模式,4,3,1,0
模式,智能,4,4,0,0
模式,漂移,4,4,0,0
模式,背部舒展,4,4,0,0
模式,节能,4,4,0,0
模式,音乐律动,4,3,1,0
调节内容,使用有效期,4,3,0,1
调节内容,声,4,4,0,0
调节内容,透光挡位,4,4,0,0
调节内容,香味,4,4,0,0
车外灯类型,前大灯,4,4,0,0
车外灯类型,行车灯,4,4,0,0
车机模块,本机,4,3,1,0
音效,平坦,4,4,0,0
音效,蜂鸣,4,3,0,1
页面,设置界面,4,4,0,0
页面,调节,4,3,1,0
value,-50/100,3,3,0,0
value,20%,3,2,1,0
value,2档,3,2,0,1
value,30秒,3,3,0,0
value,50,3,3,0,0
value,high,3,2,0,1
value,low,3,3,0,0
value,一些,3,3,0,0
value,中等,3,2,1,0
value,中间,3,3,0,0
value,二,3,2,1,0
value,低一点,3,3,0,0
value,减小,3,3,0,0
value,到最前,3,3,0,0
value,右,3,3,0,0
value,向右边,3,3,0,0
value,向左,3,3,0,0
value,吹玻璃,3,2,0,1
value,吹脸,3,2,0,1
value,增强,3,3,0,0
value,大点儿声,3,3,0,0
value,太亮了,3,2,1,0
value,太大了,3,2,1,0
value,太小了,3,3,0,0
value,对着人吹,3,2,1,0
value,小,3,3,0,0
value,左,3,2,0,1
value,弱,3,2,1,0
value,强,3,3,0,0
value,往上一点,3,3,0,0
value,往主驾,3,3,0,0
value,往前方,3,3,0,0
value,往前调,3,3,0,0
value,往副驾,3,2,0,1
value,往后边,3,3,0,0
value,暗一点,3,3,0,0
value,最浓,3,3,0,0
value,朝主驾,3,1,0,2
value,朝右,3,2,1,0
value,朝右边,3,3,0,0
value,朝后边,3,3,0,0
value,朝左,3,3,0,0
value,浓香,3,3,0,0
value,紫色,3,3,0,0
value,绿色,3,2,1,0
value,调低点,3,2,0,1
value,调到最亮,3,3,0,0
value,调大一点,3,3,0,0
value,调高10%,3,3,0,0
value,较低的,3,2,1,0
value,过来,3,3,0,0
value,近距离,3,2,1,0
value,避人吹,3,3,0,0
value,降一点,3,3,0,0
value,零透明度,3,2,0,1
位置,主驾驶的,3,3,0,0
位置,二排中,3,3,0,0
位置,全部的,3,3,0,0
位置,全都,3,3,0,0
位置,前排的,3,3,0,0
位置,后面的,3,2,1,0
位置,左右,3,1,2,0
位置,驾驶,3,3,0,0
功能,全景,3,2,0,1
功能,全景影像,3,3,0,0
功能,定位,3,2,0,1
功能,座舱恒温,3,3,0,0
功能,座舱监测系统,3,2,1,0
功能,开机动画音乐,3,3,0,0
功能,报警语音播报,3,2,1,0
功能,来电语音播报,3,3,0,0
功能,温度,3,2,1,0
功能,自适应巡航辅助,3,3,0,0
功能,过热保护,3,2,1,0
功能,风量,3,3,0,0
子功能,交通灯辅助,3,2,1,0
子功能,低速倒车紧急制动,3,2,0,1
子功能,后向碰撞减缓,3,3,0,0
子功能,后方侧向交通辅助,3,1,1,1
子功能,红灯制动辅助,3,3,0,0
子功能,行人提示音,3,3,0,0
子功能,车道保持辅助,3,2,0,1
子功能,车道偏离报警,3,3,0,0
对象,中控扶手,3,2,1,0
对象,主屏幕,3,2,0,1
对象,充电口,3,3,0,0
对象,充电盖,3,3,0,0
对象,制热器,3,2,1,0
对象,后视镜屏幕,3,2,0,1
对象,娱乐主机显示屏,3,2,0,1
对象,座椅腰托下腰托,3,3,0,0
对象,开车模式,3,1,0,2
对象,星空顶,3,3,0,0
对象,智能除味,3,2,1,0
对象,欢送灯,3,1,0,2
对象,滑门,3,3,0,0
对象,电动尾翼,3,2,1,0
对象,电尾门,3,3,0,0
对象,空气净化功能,3,3,0,0
对象,背部,3,2,1,0
对象,脚托,3,3,0,0
对象,腰托下腰托,3,2,0,1
对象,自适应大灯,3,3,0,0
对象,行车记录仪,3,2,1,0
对象,车内灯光,3,2,0,1
对象,车内照明,3,2,1,0
对象,车窗控制,3,3,0,0
对象,车身,3,2,1,0
对象,钥匙,3,3,0,0
对象,门窗,3,2,0,1
对象,音响,3,3,0,0
对象,顶部娱乐屏,3,3,0,0
对象功能,伴你回家,3,3,0,0
对象功能,伴奏,3,3,0,0
对象功能,伴我回家,3,3,0,0
对象功能,低速提醒,3,3,0,0
对象功能,低速行人报警,3,3,0,0
对象功能,倒车下翻,3,3,0,0
对象功能,儿童安全锁,3,3,0,0
对象功能,右侧出风口,3,3,0,0
对象功能,左电动出风口,3,3,0,0
对象功能,左边出风口,3,3,0,0
对象功能,息屏,3,3,0,0
对象功能,投屏,3,3,0,0
对象功能,挡风玻璃加热,3,3,0,0
对象功能,放平,3,2,1,0
对象功能,窗除雾,3,2,0,1
对象功能,竖直,3,2,0,1
对象功能,续航,3,2,1,0
对象功能,背光联动,3,2,0,1
对象功能,自干燥,3,2,1,0
对象功能,蓝牙,3,3,0,0
对象功能,车外行人警示音,3,2,1,0
对象功能,车辆报警音,3,2,0,1
对象功能,震动,3,3,0,0
座椅记忆位置,一,3,2,0,1
操作,修改,3,3,0,0
操作,关闭下,3,3,0,0
操作,升起,3,3,0,0
操作,展示,3,2,0,1
操作,开个,3,2,1,0
操作,拉上,3,3,0,0
操作,改变,3,3,0,0
操作,改成,3,3,0,0
操作,放,3,2,1,0
操作,更改为,3,3,0,0
操作,激活,3,2,0,1
操作,设定,3,2,0,1
操作,设成,3,1,0,2
方向偏移量,20,3,3,0,0
模式,两侧,3,3,0,0
模式,交叉,3,2,1,0
模式,冷风,3,3,0,0
模式,制热,3,3,0,0
模式,动态,3,2,1,0
模式,暖风,3,3,0,0
模式,极速制冷,3,2,1,0
模式,检修,3,2,1,0
模式,续航提醒,3,1,0,2
模式,聚焦模式,3,3,0,0
模式,腰部放松,3,3,0,0
模式,运动,3,2,1,0
模式,运动模式,3,3,0,0
调节内容,律动强度,3,2,1,0
调节内容,视图,3,3,0,0
调节内容,车距,3,2,1,0
调节内容,透光值,3,3,0,0
调节内容,透明挡位,3,3,0,0
调节内容,防晒等级,3,2,0,1
调节内容,风挡,3,2,0,1
身体位置,脚部,3,3,0,0
车内灯类型,星空顶,3,3,0,0
车外灯类型,前照灯,3,3,0,0
车外灯类型,自适应大灯,3,3,0,0
value,+20/100,2,2,0,0
value,10%,2,2,0,0
value,120,2,1,1,0
value,12个月,2,2,0,0
value,150,2,1,1,0
value,180,2,2,0,0
value,20,2,2,0,0
value,3,2,2,0,0
value,30,2,1,1,0
value,3分钟,2,2,0,0
value,3小时,2,2,0,0
value,80,2,2,0,0
value,一档,2,2,0,0
value,一点儿,2,2,0,0
value,一点点,2,1,1,0
value,不够低,2,1,1,0
value,中挡,2,1,0,1
value,中档,2,2,0,0
value,中等距离,2,2,0,0
value,中距离,2,2,0,0
value,中风,2,2,0,0
value,久一点,2,2,0,0
value,二十七度,2,2,0,0
value,二十二,2,2,0,0
value,二十六度,2,1,1,0
value,全时开,2,1,1,0
value,减少,2,2,0,0
value,别吹脚,2,2,0,0
value,别吹脸,2,0,2,0
value,到前方,2,2,0,0
value,到这,2,2,0,0
value,前方,2,2,0,0
value,升高,2,2,0,0
value,半小时,2,2,0,0
value,半开,2,2,0,0
value,后方,2,2,0,0
value,向上一点,2,2,0,0
value,向上吹点,2,2,0,0
value,向下一点,2,2,0,0
value,向前方,2,2,0,0
value,向前面,2,2,0,0
value,向右,2,2,0,0
value,向高调节,2,2,0,0
value,吹面吹窗,2,2,0,0
value,吹面吹脚,2,2,0,0
value,四分之一,2,2,0,0
value,增大,2,2,0,0
value,大,2,2,0,0
value,大一点,2,1,0,1
value,太往下了,2,2,0,0
value,对我吹,2,2,0,0
value,对着我吹,2,2,0,0
value,左右扫风,2,2,0,0
value,开大一点点,2,2,0,0
value,往下调,2,2,0,0
value,往前走,2,2,0,0
value,往后一点,2,2,0,0
value,往左,2,2,0,0
value,往驾驶员,2,2,0,0
value,慢,2,2,0,0
value,整体往高上,2,2,0,0
value,显示,2,1,0,1
value,最前面,2,1,0,1
value,朝后,2,2,0,0
value,朝驾驶员,2,2,0,0
value,浓郁,2,1,1,0
value,淡香,2,2,0,0
value,点,2,2,0,0
value,留条缝给,2,2,0,0
value,百分之二十五,2,2,0,0
value,调为稍暗,2,1,0,1
value,调亮,2,2,0,0
value,调亮一点,2,2,0,0
value,调到20,2,2,0,0
value,调到20%,2,2,0,0
value,调到一半,2,1,1,0
value,调到最后,2,2,0,0
value,调到最后面,2,2,0,0
value,调到最大,2,2,0,0
value,调大,2,1,1,0
value,调大些,2,2,0,0
value,调太高了,2,2,0,0
value,调小一格,2,2,0,0
value,调小两格,2,2,0,0
value,调高一些,2,2,0,0
value,调高点,2,1,1,0
value,较高,2,2,0,0
value,长一点,2,2,0,0
value,震动模式,2,2,0,0
value,预警加制动,2,2,0,0
value,高一点,2,1,1,0
位置,一排,2,2,0,0
位置,两边,2,2,0,0
位置,中排左,2,1,0,1
位置,主副驾侧,2,2,0,0
位置,主副驾的,2,0,0,2
位置,主驾二排右,2,2,0,0
位置,主驾和中左,2,0,2,0
位置,主驾和右后侧,2,2,0,0
位置,主驾驶副驾驶,2,2,0,0
位置,二排,2,2,0,0
位置,二排三排,2,2,0,0
位置,二排右,2,2,0,0
位置,二排左,2,2,0,0
位置,全部都,2,2,0,0
位置,前侧,2,2,0,0
位置,前后排,2,2,0,0
位置,前排前排,2,1,0,1
位置,前舱,2,2,0,0
位置,前边和后边,2,2,0,0
位置,副驾主驾,2,2,0,0
位置,副驾区域,2,1,1,0
位置,副驾后车,2,0,2,0
位置,副驾后面一排,2,2,0,0
位置,副驾打开全部,2,2,0,0
位置,右中,2,2,0,0
位置,右后侧,2,0,2,0
位置,右排,2,1,0,1
位置,后排右,2,2,0,0
位置,后排座,2,2,0,0
位置,后排座位的,2,1,1,0
位置,外面,2,2,0,0
位置,左侧前后,2,0,0,2
位置,左侧右侧,2,2,0,0
位置,左前侧,2,2,0,0
位置,左前和右后,2,2,0,0
位置,左前跟右后,2,2,0,0
位置,左前面,2,1,0,1
位置,左排,2,2,0,0
位置,第二排,2,1,1,0
位置,都,2,2,0,0
位置,驾驶位位置,2,2,0,0
功能,ACC,2,2,0,0
功能,三六零全景影像,2,2,0,0
功能,交通灯提醒,2,2,0,0
功能,信号灯自动检测,2,2,0,0
功能,倒车影像,2,2,0,0
功能,关闭行人提,2,2,0,0
功能,发动机启停,2,2,0,0
功能,变道警示系统,2,1,1,0
功能,声浪模拟,2,1,0,1
功能,座舱主动温控系统,2,2,0,0
功能,座舱控温系统,2,2,0,0
功能,座舱过热保护,2,2,0,0
功能,开机声音,2,2,0,0
功能,开机音量自适应,2,1,0,1
功能,方便上下车,2,1,0,1
功能,无线设备充电,2,2,0,0
功能,最佳听音位,2,2,0,0
功能,查询当前音量,2,1,1,0
功能,汽车保养,2,1,1,0
功能,泊车系统,2,2,0,0
功能,泊车辅助,2,1,0,1
功能,红灯制动辅助,2,2,0,0
功能,红绿灯辅助,2,1,1,0
功能,自动变道提醒,2,1,1,0
功能,自动启停,2,2,0,0
功能,行人提示音,2,2,0,0
功能,记忆泊车,2,2,0,0
功能,超速提醒,2,2,0,0
功能,车身稳定系统,2,1,0,1
功能,车速提醒,2,2,0,0
功能,轮胎压怎么样,2,2,0,0
功能,轮胎胎压如何,2,1,1,0
功能,闭锁音效,2,2,0,0
功能,限速告警,2,2,0,0
功能,限速提醒,2,2,0,0
功能,限速辅助,2,2,0,0
功能,预防性制动,2,2,0,0
功能,驻车模式,2,1,0,1
功能,驾驶员监测系统,2,2,0,0
子功能,交通灯提醒,2,2,0,0
子功能,前方侧向交通辅助,2,2,0,0
子功能,变道确认,2,2,0,0
子功能,变道警示系统,2,1,1,0
子功能,后方碰撞预警,2,2,0,0
子功能,智能保电,2,2,0,0
子功能,红灯制动,2,2,0,0
子功能,红绿灯辅助,2,1,1,0
子功能,行人安全辅助,2,2,0,0
子功能,车速限制器,2,1,0,1
子功能,车道保持模式,2,0,0,2
子功能,车道保持辅助系统,2,2,0,0
子功能,车道偏离辅助,2,2,0,0
子功能,车道偏离预警,2,1,0,1
子功能,车道引导,2,2,0,0
子功能,辅助驾驶,2,2,0,0
子功能,近距离前向碰撞预警,2,2,0,0
子功能,邻车靠近避让,2,1,1,0
子功能,限速告警,2,2,0,0
子功能,限速控制,2,2,0,0
子功能,限速提醒,2,2,0,0
子功能,限速辅助,2,2,0,0
对象,上面的窗帘,2,2,0,0
对象,中间储物台,2,1,1,0
对象,中间放东西的柜子,2,2,0,0
对象,中间的柜子,2,1,0,1
对象,交流充电口盖,2,1,0,1
对象,充电枪锁,2,2,0,0
对象,内后视镜,2,2,0,0
对象,冰箱电源,2,1,0,1
对象,制动踏板,2,2,0,0
对象,反光镜,2,2,0,0
对象,后背门,2,1,1,0
对象,备胎,2,2,0,0
对象,天幕玻璃,2,2,0,0
对象,天窗前窗帘,2,2,0,0
对象,天窗玻璃,2,2,0,0
对象,头枕,2,2,0,0
对象,娱乐主机屏幕,2,1,0,1
对象,娱乐大屏,2,2,0,0
对象,室内灯,2,2,0,0
对象,幕布,2,2,0,0
对象,底盘,2,0,1,1
对象,座垫,2,1,1,0
对象,座椅包裹,2,1,0,1
对象,座椅头枕,2,2,0,0
对象,座椅脚踏,2,1,0,1
对象,座椅腰托,2,2,0,0
对象,座椅靠背支撑,2,2,0,0
对象,座椅靠背能不能,2,2,0,0
对象,悬挂,2,2,0,0
对象,手套箱,2,2,0,0
对象,扩散器,2,2,0,0
对象,挡风玻璃雨刮,2,2,0,0
对象,日间行车灯,2,2,0,0
对象,星空顶棚,2,2,0,0
对象,智能香氛器,2,1,0,1
对象,汽车,2,2,0,0
对象,汽车由普通模式,2,2,0,0
对象,照明灯,2,2,0,0
对象,照灯,2,2,0,0
对象,电动侧门,2,1,0,1
对象,电动尾门,2,2,0,0
对象,电动滑门,2,2,0,0
对象,电视屏,2,1,0,1
对象,空,2,2,0,0
对象,空调香氛,2,2,0,0
对象,腰靠,2,2,0,0
对象,蒸发器,2,1,1,0
对象,装饰灯,2,1,1,0
对象,设置,2,2,0,0
对象,话筒,2,2,0,0
对象,调整,2,1,1,0
对象,车大灯,2,1,0,1
对象,车窗雨刷器,2,1,0,1
对象,车辆驾驶模式,2,2,0,0
对象,车门锁,2,2,0,0
对象,转向,2,2,0,0
对象,轮廓灯,2,1,0,1
对象,遮阳帘帘,2,2,0,0
对象,雨刮器,2,2,0,0
对象,雨量传感器,2,2,0,0
