status,reason_codes,normalized_signature,total,train,validation,test
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""temperature"",""target"":{""direction"":""decrease"",""kind"":""relative"",""magnitude"":""default""}}",13,12,1,0
unsupported,function_outside_schema,"{""intent_class"":""infotainment_control"",""operator"":""deactivate"",""zone"":""front_passenger""}",13,13,0,0
ambiguous,no_mapping_rule,"{""feature"":""massage"",""intent_class"":""body_control"",""operator"":""activate"",""zone"":""driver""}",12,12,0,0
ambiguous,unrecognized_source_value,"{""entity"":""window"",""intent_class"":""body_control"",""operator"":""activate"",""operator_modifier"":""assignment"",""property"":""amplitude""}",12,9,3,0
ambiguous,unrecognized_source_value,"{""entity"":""window"",""intent_class"":""body_control"",""operator"":""activate"",""property"":""amplitude"",""zone"":""all""}",12,12,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""temperature"",""target"":{""kind"":""absolute"",""unit"":""celsius"",""value"":24}}",12,11,0,1
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""temperature"",""target"":{""direction"":""decrease"",""kind"":""relative"",""magnitude"":""small""}}",12,8,1,3
ambiguous,unrecognized_source_value,"{""entity"":""window"",""intent_class"":""body_control"",""property"":""amplitude""}",11,11,0,0
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""activate"",""operator_modifier"":""assignment""}",11,10,1,0
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""zone"":""front_passenger""}",11,11,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""fan_speed"",""target"":{""kind"":""absolute"",""unit"":""level"",""value"":5}}",11,11,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""temperature"",""target"":{""kind"":""absolute"",""unit"":""celsius"",""value"":22}}",11,11,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""fan_speed"",""target"":{""kind"":""absolute"",""unit"":""level"",""value"":1}}",11,9,2,0
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""feature"":""massage"",""intent_class"":""body_control"",""operator"":""set"",""operator_modifier"":""assignment"",""zone"":""driver""}",10,8,1,1
ambiguous,unrecognized_source_value,"{""entity"":""window"",""intent_class"":""body_control"",""zone"":""front_row""}",10,7,0,3
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""activate"",""zone"":""front_passenger""}",10,10,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""fan_speed"",""target"":{""kind"":""extreme"",""value"":""min""}}",10,9,1,0
ambiguous,no_mapping_rule,"{""entity"":""sunshade"",""intent_class"":""body_control"",""operator"":""activate"",""zone"":""all""}",9,8,1,0
ambiguous,no_mapping_rule,"{""feature"":""massage"",""intent_class"":""body_control"",""operator"":""activate"",""zone"":""front_passenger""}",9,6,3,0
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""feature"":""ventilation"",""intent_class"":""body_control"",""operator"":""deactivate""}",9,6,1,2
ambiguous,unrecognized_source_value,"{""entity"":""sunroof"",""intent_class"":""body_control"",""operator"":""set"",""operator_modifier"":""assignment""}",9,9,0,0
ambiguous,unrecognized_source_value,"{""entity"":""window"",""intent_class"":""body_control"",""operator_modifier"":""assignment"",""property"":""amplitude""}",9,8,0,1
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""activate"",""zone"":""all""}",9,9,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""deactivate"",""property"":""fan_speed""}",9,7,1,1
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""fan_speed"",""target"":{""kind"":""extreme"",""value"":""min""}}",9,7,0,2
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""temperature"",""target"":{""kind"":""absolute"",""unit"":""celsius"",""value"":23}}",9,6,0,3
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""fan_speed"",""target"":{""direction"":""decrease"",""kind"":""relative"",""magnitude"":""small""}}",9,9,0,0
needs_context,missing_required_argument,"{""entity"":""seat"",""intent_class"":""body_control"",""operator"":""activate""}",9,8,1,0
ambiguous,no_mapping_rule,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""activate"",""operator_modifier"":""assignment"",""property"":""temperature"",""target"":{""kind"":""absolute"",""unit"":""celsius"",""value"":22}}",8,7,0,1
ambiguous,no_mapping_rule,"{""feature"":""ventilation"",""intent_class"":""body_control"",""operator"":""deactivate""}",8,7,1,0
ambiguous,unrecognized_source_value,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""fan_speed""}",8,6,2,0
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""intent_class"":""body_control"",""operator"":""set"",""operator_modifier"":""assignment"",""zone"":""driver""}",8,6,1,1
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""intent_class"":""body_control"",""operator"":""set"",""operator_modifier"":""assignment""}",8,6,2,0
ambiguous,unrecognized_source_value,"{""entity"":""sunroof"",""intent_class"":""body_control"",""operator"":""activate"",""property"":""amplitude""}",8,7,1,0
ambiguous,unrecognized_source_value,"{""entity"":""sunshade"",""intent_class"":""body_control""}",8,7,1,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""temperature"",""target"":{""direction"":""increase"",""kind"":""relative"",""magnitude"":""default""}}",8,7,0,1
ambiguous,unrecognized_source_value,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""set"",""property"":""temperature"",""target"":{""kind"":""extreme"",""value"":""min""}}",7,5,1,1
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""feature"":""heating"",""intent_class"":""body_control"",""operator"":""deactivate""}",7,6,1,0
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""feature"":""ventilation"",""intent_class"":""body_control"",""operator"":""set"",""property"":""fan_speed""}",7,7,0,0
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""intent_class"":""body_control"",""operator"":""activate"",""zone"":""driver""}",7,6,0,1
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""intent_class"":""body_control"",""operator"":""set"",""zone"":""front_passenger""}",7,7,0,0
ambiguous,unrecognized_source_value,"{""entity"":""sunroof"",""intent_class"":""body_control""}",7,7,0,0
ambiguous,unrecognized_source_value,"{""entity"":""window"",""intent_class"":""body_control"",""operator"":""activate"",""property"":""amplitude"",""zone"":""driver""}",7,7,0,0
ambiguous,unrecognized_source_value,"{""entity"":""window"",""intent_class"":""body_control"",""operator"":""deactivate"",""property"":""amplitude""}",7,7,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""activate"",""property"":""fan_speed""}",7,7,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""activate"",""zone"":""driver""}",7,6,1,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""deactivate"",""zone"":""front_passenger""}",7,6,1,0
needs_context,missing_required_argument,"{""entity"":""window"",""feature"":""ventilation"",""intent_class"":""body_control"",""operator"":""activate""}",7,6,0,1
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""feature"":""massage"",""intent_class"":""body_control"",""operator"":""deactivate""}",6,4,2,0
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""intent_class"":""body_control"",""operator_modifier"":""assignment""}",6,5,1,0
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""intent_class"":""body_control"",""zone"":""front_passenger""}",6,5,0,1
ambiguous,unrecognized_source_value,"{""entity"":""sunroof"",""intent_class"":""body_control"",""operator"":""set"",""property"":""amplitude""}",6,5,0,1
ambiguous,unrecognized_source_value,"{""entity"":""window"",""intent_class"":""body_control"",""operator"":""set"",""property"":""amplitude"",""zone"":""all""}",6,4,1,1
ambiguous,unrecognized_source_value,"{""feature"":""massage"",""intent_class"":""body_control"",""operator"":""deactivate""}",6,5,1,0
ambiguous,unrecognized_source_value,"{""feature"":""ventilation"",""intent_class"":""body_control"",""operator"":""deactivate""}",6,5,0,1
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""zone"":""all""}",6,4,1,1
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""temperature"",""target"":{""kind"":""absolute"",""unit"":""celsius"",""value"":21}}",6,4,1,1
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""fan_speed"",""target"":{""direction"":""increase"",""kind"":""relative"",""magnitude"":""default""}}",6,6,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""temperature"",""target"":{""kind"":""extreme"",""value"":""min""}}",6,5,1,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""property"":""fan_speed""}",6,6,0,0
ambiguous,no_mapping_rule,"{""entity"":""hvac"",""feature"":""ventilation"",""intent_class"":""body_control"",""operator"":""activate""}",5,4,0,1
ambiguous,no_mapping_rule,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""activate"",""operator_modifier"":""assignment"",""property"":""temperature"",""target"":{""kind"":""absolute"",""unit"":""celsius"",""value"":24}}",5,4,0,1
ambiguous,unrecognized_source_value,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""activate"",""property"":""temperature""}",5,5,0,0
ambiguous,unrecognized_source_value,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""set"",""property"":""temperature"",""target"":{""kind"":""absolute"",""unit"":""celsius"",""value"":22}}",5,5,0,0
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""intent_class"":""body_control"",""operator"":""activate"",""zone"":""rear_row""}",5,3,1,1
ambiguous,unrecognized_source_value,"{""entity"":""sunroof"",""intent_class"":""body_control"",""operator"":""deactivate"",""property"":""amplitude""}",5,4,1,0
ambiguous,unrecognized_source_value,"{""entity"":""sunshade"",""intent_class"":""body_control"",""operator"":""activate""}",5,5,0,0
ambiguous,unrecognized_source_value,"{""entity"":""window"",""intent_class"":""body_control"",""operator"":""activate"",""property"":""amplitude"",""zone"":""rear_row""}",5,5,0,0
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""activate"",""property"":""amplitude""}",5,5,0,0
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""temperature""}",5,4,0,1
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""set"",""operator_modifier"":""assignment"",""zone"":""driver""}",5,5,0,0
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""set"",""operator_modifier"":""assignment"",""zone"":""front_passenger""}",5,5,0,0
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""set"",""property"":""temperature""}",5,3,0,2
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""property"":""amplitude""}",5,5,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""activate"",""operator_modifier"":""assignment"",""property"":""fan_speed"",""target"":{""kind"":""extreme"",""value"":""max""}}",5,5,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""temperature"",""target"":{""kind"":""absolute"",""unit"":""celsius"",""value"":18}}",5,5,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""fan_speed"",""target"":{""kind"":""absolute"",""unit"":""level"",""value"":4}}",5,5,0,0
ambiguous,no_mapping_rule,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""activate"",""operator_modifier"":""assignment"",""property"":""temperature"",""target"":{""kind"":""extreme"",""value"":""min""}}",4,4,0,0
ambiguous,no_mapping_rule,"{""feature"":""massage"",""intent_class"":""body_control"",""operator"":""deactivate""}",4,3,1,0
ambiguous,no_mapping_rule,"{""feature"":""ventilation"",""intent_class"":""body_control"",""operator"":""activate"",""zone"":""driver""}",4,3,0,1
ambiguous,unrecognized_source_value,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""set"",""property"":""temperature"",""target"":{""kind"":""absolute"",""unit"":""celsius"",""value"":20}}",4,4,0,0
ambiguous,unrecognized_source_value,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""set"",""zone"":""driver""}",4,3,0,1
ambiguous,unrecognized_source_value,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator_modifier"":""assignment"",""property"":""fan_speed"",""target"":{""kind"":""extreme"",""value"":""max""}}",4,4,0,0
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""feature"":""heating"",""intent_class"":""body_control"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""temperature""}",4,2,0,2
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""intent_class"":""body_control"",""operator"":""activate"",""zone"":""front_passenger""}",4,4,0,0
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""intent_class"":""body_control"",""operator"":""deactivate""}",4,4,0,0
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""intent_class"":""body_control"",""operator"":""set"",""operator_modifier"":""assignment"",""zone"":""front_passenger""}",4,3,1,0
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""intent_class"":""body_control"",""operator"":""set"",""property"":""temperature""}",4,3,1,0
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""intent_class"":""body_control"",""operator"":""set"",""zone"":""driver""}",4,4,0,0
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""intent_class"":""body_control"",""operator_modifier"":""assignment"",""zone"":""driver""}",4,3,0,1
ambiguous,unrecognized_source_value,"{""entity"":""sunroof"",""intent_class"":""body_control"",""operator"":""deactivate""}",4,4,0,0
ambiguous,unrecognized_source_value,"{""entity"":""window"",""intent_class"":""body_control"",""operator"":""activate"",""property"":""amplitude"",""zone"":""front_passenger""}",4,4,0,0
ambiguous,unrecognized_source_value,"{""entity"":""window"",""intent_class"":""body_control"",""operator"":""deactivate"",""property"":""amplitude"",""zone"":""front_passenger""}",4,4,0,0
ambiguous,unrecognized_source_value,"{""feature"":""heating"",""intent_class"":""body_control""}",4,4,0,0
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""deactivate"",""zone"":""driver""}",4,3,1,0
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""set"",""operator_modifier"":""assignment"",""zone"":""all""}",4,3,0,1
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator_modifier"":""assignment"",""property"":""amplitude""}",4,4,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""activate"",""operator_modifier"":""assignment""}",4,4,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""activate"",""zone"":""all""}",4,2,1,1
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""activate"",""zone"":""front_passenger""}",4,4,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""deactivate"",""zone"":""driver""}",4,4,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""fan_speed"",""target"":{""kind"":""absolute"",""unit"":""level"",""value"":6}}",4,4,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""temperature"",""target"":{""kind"":""absolute"",""unit"":""celsius"",""value"":26}}",4,4,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""fan_speed"",""target"":{""kind"":""absolute"",""unit"":""level"",""value"":5}}",4,4,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""temperature"",""target"":{""kind"":""absolute"",""unit"":""celsius"",""value"":20},""zone"":""all""}",4,1,1,2
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""zone"":""driver""}",4,3,1,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""zone"":""front_passenger""}",4,2,1,1
needs_context,missing_required_argument,"{""entity"":""seat"",""intent_class"":""body_control"",""operator"":""deactivate""}",4,4,0,0
ambiguous,no_mapping_rule,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""activate"",""operator_modifier"":""assignment"",""property"":""fan_speed""}",3,1,0,2
